VIET NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Furnishings, household equipment, and routine household maintenance",...,...,...,...,...,...,...,...,...,100.0,108.7,115.9,124.0,129.4,133.6,138.0,140.8,142.7,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,...,...,...,...,...,...,...,...,...,100.0,107.3,110.2,113.8,142.5,191.5,192.7,246.6,316.4,329.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transport,...,...,...,...,...,...,...,...,...,100.0,117.1,134.4,143.9,148.9,150.9,134.6,126.6,135.1,141.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Communication,...,...,...,...,...,...,...,...,...,100.0,93.7,90.1,89.5,89.4,89.2,89.6,89.4,89.3,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recreation and culture,...,...,...,...,...,...,...,...,...,100.0,108.2,114.1,121.9,126.4,131.2,134.8,138.5,140.6,145.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Education,...,...,...,...,...,...,...,...,...,100.0,113.1,120.4,135.5,167.0,174.2,187.3,207.1,226.0,243.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Restaurants and hotels,...,...,...,...,...,...,...,...,...,100.0,115.9,126.2,137.7,145.1,149.7,154.8,157.8,161.1,164.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miscellaneous goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Producer; 2010 = 100,51.0,52.1,53.0,54.9,58.4,61.0,63.5,67.9,82.7,88.8,100.0,118.4,122.5,128.9,133.1,132.4,131.5,135.2,139.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Producers,,N,Producers,,d,,,,,,,,,,,,,,,,,,,,
,Implicit GDP deflator; 1994 | 2010 = 100,161.4,164.5,171.0,182.4,197.4 |,57.5,62.5,68.5,84.0,89.2,100.0,121.3,134.5,140.9,146.1,145.8,147.4,153.4,158.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC34,,,,,1,1,Implicit GDP deflator,,N,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"Price indexes annual change, %",,Y,"Price indexes annual change, %",,,,,,,,,,,,,,,,,,,,,,
,               Consumer price index (national),...,-0.3,3.9,3.2,7.7,8.3,7.5,8.3,23.0,6.9,9.2,18.6,9.2,6.6,4.8,0.6,2.7,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Consumer price index (National),,N,Consumer price index (National),,,,,,,,,,,,,,,,,,,,,,
,               Food and nonalcoholic price index (national),...,-1.3,9.1,1.1,12.5,11.2,-20.2,9.2,36.6,8.7,10.7,26.5,8.1,2.7,4.0,1.5,2.5,-1.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Food Price Index (National),,N,Food Price Index (National),,,,,,,,,,,,,,,,,,,,,,
,               Producer price index,-0.2,2.1,1.8,3.6,6.4,4.4,4.2,6.8,21.8,7.4,12.6,18.4,3.4,5.3,3.3,-0.6,-0.6,2.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Producers Price Index,,N,Producers Price Index,,,,,,,,,,,,,,,,,,,,,,
,               Implicit GDP deflator,3.4,1.9,4.0,6.7,8.2,9.0,8.6,9.6,22.7,6.2,12.1,21.3,10.9,4.8,3.7,-0.2,1.1,4.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Implicit GDP deflator,,N,Implicit GDP deflator,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKINGg  as of end of period (D billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,MONEY AND BANKING{|},,Y,MONEY AND BANKING{|},,,,,,,,,,,,,,,,,,,,,,
,Money supply (M1),"152,497","191,113","235,518","314,148","402,738","531,472","723,204","443,429","442,984","581,535","640,959","705,998","860,959","1,017,278","1,240,196","1,456,114","1,713,832","1,982,009","2,174,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Money supply (M1),,N,Money supply (M1),,,,,,,,,,,,,,,,,,,,,,
,     Currency in circulation,"52,208","66,319","74,263","90,583","109,097","131,171","158,809","220,514","236,848","293,225","337,949","370,992","455,504","506,739","624,832","726,559","851,441","977,907","1,085,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Currency in circulation,,N,Currency in circulation,,,,,,,,,,,,,,,,,,,,,,
,     Demand depositsh,"100,289","124,794","161,255","223,564","293,641","400,301","564,394","222,915","206,136","288,310","303,010","335,006","405,455","510,539","615,364","729,555","862,391","1,004,102","1,089,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Demand deposits (excluding government deposits),,N,Demand deposits (excluding government deposits),,,,,,,,,,,,,,,,,,,,,,
,Quasi-moneyi,"70,385","88,667","93,632","97,084","129,608","159,180","199,469","904,814","1,179,145","1,510,912","2,148,225","2,419,962","2,841,909","3,383,414","3,939,021","4,563,495","5,411,969","6,210,540","7,037,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Quasi-money,,N,Quasi-money,,,,,,,,,,,,,,,,,,,,,,
,Money supply (M2),"222,882","279,781","329,150","411,232","532,346","690,652","922,672","1,348,244","1,622,130","2,092,447","2,789,184","3,125,960","3,702,867","4,400,692","5,179,216","6,019,609","7,125,801","8,192,548","9,211,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Money supply (M2),,N,Money supply (M2),,,,,,,,,,,,,,,,,,,,,,
,     Foreign assets (net),"95,692","117,615","117,418","131,402","145,910","191,077","287,925","410,414","428,929","312,264","266,567","300,823","548,108","612,697","825,954","836,057","948,545","1,264,353","1,539,963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Foreign assets (net),,N,Foreign assets (net),,,,,,,,,,,,,,,,,,,,,,
,     Domestic credit,"155,236","191,204","239,921","316,872","434,572","585,559","730,330","1,096,780","1,400,693","2,039,686","2,689,527","3,062,086","3,403,504","3,876,350","4,479,804","5,381,433","6,306,619","7,100,015","7,851,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Domestic credit,,N,Domestic credit,,,,,,,,,,,,,,,,,,,,,,
,          Claims on government sector,-484,"2,102","8,843","20,135","14,527","32,461","36,496","29,051","61,430","170,431","213,991","232,362","325,801","406,668","530,128","688,516","731,566","556,114","472,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Claims on govt. sector,,N,Claims on govt. sector,,e,,,,,,,,,,,,,,,,,,,,
,          Claims on private sectorj,"155,720","189,103","231,078","296,737","420,046","553,098","693,834","1,067,729","1,339,263","1,869,255","2,475,535","2,829,723","3,077,703","3,469,683","3,949,676","4,692,917","5,575,053","6,543,900","7,378,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Claims on private sector,,N,Claims on private sector,,f,,,,,,,,,,,,,,,,,,,,
,          Claims on other financial institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Claims on other financial institutions,,N,Claims on other financial institutions,,,,,,,,,,,,,,,,,,,,,,
,          Claims on state and local government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC85,,,,,,,M2: Domestic claims: Claims on state and local govt
,          Claims on public nonfinancial corporations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC86,,,,,,,M2: Domestic claims: Claims on public nonfin. corporations
,     Other items (net),"-28,046","-29,039","-28,191","-37,040","-48,137","-85,984","-95,583","-158,950","-207,492","-259,503","-166,909","-236,948","-248,745","-88,355","-126,542","-197,880","-129,363","-171,819","-179,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Other items,,N,Other items,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Money Supply (M2)  (% annual change),56.2,25.5,17.6,24.9,29.5,29.7,33.6,46.1,20.3,29.0,33.3,12.1,18.5,18.8,17.7,16.2,18.4,15.0,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,"Money supply (M2) annual change, %",,N,"Money supply (M2) annual change, %",,,,,,,,,,,,,,,,,,,,,,
,               M2 (% of GDP at current market prices),50.5,58.1,61.4,67.0,74.4,75.6,86.9,108.1,100.4,115.7,129.3,112.4,114.1,122.8,131.5,143.6,158.3,163.7,166.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,M2 % of GDP,,N,M2 % of GDP,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Ratesk period averages (% per annum) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Savings ,0.2,0.2,2.4,2.4,2.4,3.0,3.0,3.1,3.7,2.9,3.0,3.0,2.2,1.3,0.8,0.7,0.6,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Savings deposits,,N,Savings deposits,,h,,,,,,,,,,,,,,,,,,,,
,Time:    6  months,4.8,6.2,7.4,6.5,7.0,7.8,7.8,8.2,13.3,10.2,11.1,13.7,10.1,7.3,6.4,5.6,6.1,6.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Time deposits of 6 months,,N,Time deposits of 6 months,,i,,,,,,,,,,,,,,,,,,,,
,12 monthsl,6.2,6.8,7.8,7.2,7.6,8.4,8.4,8.8,13.5,10.4,11.5,13.6,11.3,8.7,7.2,6.3,6.8,6.9,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Time deposits of over 12 months,,N,Time deposits of over 12 months,,j,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCE  fiscal year ending 31 December (D billion) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,GOVERNMENT FINANCE,,Y,GOVERNMENT FINANCE,,,,,,,,,,,,,,,,,,,,,,
,Central Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Central Government,,Y,Central Government,,,,,,,,,,,,,,,,,,,,,,
,Total revenue and grantsm,"90,749","103,888","121,716","158,056","198,614","238,686","289,170","336,273","434,761","456,388","588,429","721,804","735,183","828,348","877,697","998,217","1,101,377","1,288,665*","1,424,914*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Total revenue and grants,,N,Total revenue and grants,,,,,,,,,,,,,,,,,,,,,,
,      Total revenue,"88,721","101,877","119,466","155,087","195,737","234,897","281,273","330,261","425,348","448,480","576,561","709,701","724,916","817,224","866,647","986,373","1,092,858","1,280,755*","1,417,265*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Total revenue,,N,Total revenue,,,,,,,,,,,,,,,,,,,,,,
,          Current revenuen,"87,883","100,918","118,346","145,822","180,197","219,438","263,864","299,096","392,463","408,892","524,998","655,476","678,012","770,830","820,491","915,396","991,971","1,153,265*","1,266,952*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,Current revenue,,N,Current revenue,,,,,,,,,,,,,,,,,,,,,,
,               Taxesm,"79,497","91,688","106,154","127,947","155,579","191,725","236,331","268,594","363,020","373,201","483,037","618,846","617,442","685,207","717,371","756,370","808,111","928,818*","1,022,861*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,Taxes,,N,Taxes,,,,,,,,,,,,,,,,,,,,,,
,               Nontaxes,"8,386","9,230","12,192","17,875","24,618","27,714","27,532","30,502","29,443","35,691","41,961","36,630","60,570","85,623","103,120","159,026","183,860","224,447*","244,091*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,Non-taxes,,N,Non-taxes,,,,,,,,,,,,,,,,,,,,,,
,          Capital receipts,838,959,"1,120","9,265","15,540","15,459","17,409","31,165","32,885","39,588","51,563","54,225","46,904","46,394","46,156","70,977","100,887","127,490*","150,313*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC30,,,,,4,4,Capital receipts,,N,,,,,,,,,,,,,,,,,,,,,,,
,     Grants,"2,028","2,011","2,250","2,969","2,877","3,789","7,897","6,012","9,413","7,908","11,868","12,103","10,267","11,124","11,050","11,844","8,519","7,910*","7,649*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Grants,,N,Grants,,,,,,,,,,,,,,,,,,,,,,
,Total expenditure and net lending,"109,633","120,968","134,090","171,408","197,476","247,749","276,170","347,468","424,864","531,704","632,857","735,041","844,181","1,008,538","1,062,655","1,176,855","1,288,309","1,462,965*","1,616,414*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Total expenditure and net lending,,N,Total expenditure and net lending,,,,,,,,,,,,,,,,,,,,,,
,     Total expenditureo,"99,751","117,285","129,434","162,151","187,353","229,092","268,410","336,312","411,836","508,029","586,317","706,428","913,647","1,031,573","1,039,579","1,181,128","1,293,009","1,462,965*","1,616,414*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Total expenditure,,N,Total expenditure,,,,,,,,,,,,,,,,,,,,,,
,          Current expenditurep,"70,127","77,049","84,216","102,522","121,238","149,893","180,069","232,010","292,374","326,666","403,151","498,122","644,835","759,893","791,127","872,275","937,951","1,016,152*","1,205,137*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,Current expenditure,,N,Current expenditure,,,,,,,,,,,,,,,,,,,,,,
,          Capital expenditureq,"29,624","40,236","45,218","59,629","66,115","79,199","88,341","104,302","119,462","181,363","183,166","208,306","268,812","271,680","248,452","308,853","268,181","365,526*","411,277*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,Capital expenditure,,N,Capital expenditure,,,,,,,,,,,,,,,,,,,,,,
,     Net lending,"9,882","3,683","4,656","9,257","10,123","18,657","7,760","11,156","13,028","23,675","46,540","28,613","-69,466","-23,035","23,076","-4,273","-4,700",–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC31,,,,,3,3,Net lending,,N,,,,,,,,,,,,,,,,,,,,,,,
,Current surplus/deficit,"17,756","23,869","34,130","43,300","58,959","69,545","83,795","67,085","100,089","82,226","121,847","157,354","33,177","10,937","29,364","43,121","54,020","137,113*","61,815*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Current surplus/deficit,,N,Current surplus/deficit,,,,,,,,,,,,,,,,,,,,,,
,Capital account surplus/deficit,"-28,786","-39,277","-44,098","-50,364","-50,575","-63,740","-70,932","-73,137","-86,577","-141,775","-131,603","-154,081","-221,908","-225,286","-202,296","-237,876","-167,294","-238,036*","-260,964*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Capital account surplus/deficit,,N,Capital account surplus/deficit,,,,,,,,,,,,,,,,,,,,,,
,Overall budgetary surplus/deficit,"-18,884","-17,080","-12,374","-13,352","1,138","-9,063","13,000","-11,195","9,897","-75,316","-44,428","-13,237","-108,998","-180,190","-184,958","-178,638","-186,932","-174,300*","-191,500*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Overall budgetary surplus/deficit,,N,Overall budgetary surplus/deficit,,,,,,,,,,,,,,,,,,,,,,
,Financing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Financing,,Y,Financing,,,,,,,,,,,,,,,,,,,,,,
,     Domestic borrowing,"6,110","7,333","4,711","6,327","4,671","4,525","3,160","-6,740","-37,962","11,405","359,136","426,389","550,856",...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Domestic borrowing,,N,Domestic borrowing,,,,,,,,,,,,,,,,,,,,,,
,     Foreign borrowing,"6,292","4,809","5,306","4,577","3,210","2,615","5,804","6,779","15,037","30,338","530,253","666,373","726,318",...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Foreign borrowing,,N,Foreign borrowing,,,,,,,,,,,,,,,,,,,,,,
,     Use of cash balances,"6,482","4,938","2,357","2,448","-9,019","1,923","-21,964","11,156","13,028","33,573","-844,961","-1,079,524","-1,168,175",...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Government Finance   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Government Finance % of GDP,,Y,Government Finance % of GDP,,,,,,,,,,,,,,,,,,,,,,
,               Total revenue,20.1,21.2,22.3,25.3,27.4,25.7,26.5,26.5,26.3,24.8,26.7,25.5,22.3,22.8,22.0,23.5,24.3,25.6,25.6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Total revenue,,N,Total revenue,,,,,,,,,,,,,,,,,,,,,,
,               Taxesm,18.0,19.1,19.8,20.9,21.7,21.0,22.3,21.5,22.5,20.6,22.4,22.3,19.0,19.1,18.2,18.0,17.9,18.6,18.5*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC5,,,,,1,1,"Tax revenue, as % of GDP",,N,,,,,,,,,,,,,,,,,,,,,,,
,               Total expenditureo,22.6,24.4,24.2,26.4,26.2,25.1,25.3,27.0,25.5,28.1,27.2,25.4,28.2,28.8,26.4,28.2,28.7,29.2,29.2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Total expenditure,,N,Total expenditure,,,,,,,,,,,,,,,,,,,,,,
,               Overall budgetary surplus/deficit,-4.3,-3.5,-2.3,-2.2,0.1,-1.0,1.2,-0.9,0.6,-4.2,-2.1,-0.5,-3.4,-5.0,-4.4,-4.3,-4.2,-3.5,-3.5*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Overall budget surplus/deficit,,N,Overall budget surplus/deficit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADE calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,EXTERNAL TRADE{|},,Y,EXTERNAL TRADE{|},,,,,,,,,,,,,,,,,,,,,,
,"Exports, fob","14,483","15,029","16,706","20,149","26,485","32,447","39,826","48,561","62,685","57,096","72,237","96,906","114,529","132,033","150,217","162,017","176,581","215,119","243,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"Exports, fob",,N,"Exports, fob",,,,,,,,,,,,,,,,,,,,,,
,"Imports, cifr","15,637","16,218","19,746","25,256","31,969","36,761","44,891","62,765","80,714","69,949","84,839","106,750","113,780","132,033","147,849","165,776","174,978","213,007","236,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,N,"Imports, cif",N,,,,,,,,,,,,,,,,,,,,,
,    Trade balance,"-1,154","-1,189","-3,040","-5,107","-5,484","-4,314","-5,065","-14,204","-18,029","-12,853","-12,602","-9,844",749,0,"2,368","-3,759","1,602","2,112","6,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Trade Balance,,N,Trade Balance,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              External Trade   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"External Trade annual change, %",,Y,"External Trade annual change, %",,,,,,,,,,,,,,,,,,,,,,
