SRI LANKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Claims on private sector,"307,613","328,788","367,397","430,575","526,236","680,693","856,842","1,029,993","1,095,416","1,043,782","1,333,784","1,821,472","2,172,076","2,327,376","2,498,394","3,178,372","3,873,197","4,471,965","5,135,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Claims on other financial institutions,"26,986","22,934","28,010","28,879","27,258","15,651","25,410","11,659","15,085","73,233","91,927","71,385","91,258","164,674","197,013","261,815","308,382","342,354","432,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Other items,"-123,863","-142,615","-139,899","-151,638","-175,793","-208,608","-330,545","-381,552","-388,906","-452,658","-497,799","-586,730","-695,395","-676,729","-780,846","-977,690","-1,192,656","-1,485,576","-1,804,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Money Supply (M2)    (% annual change),13.0,11.4,13.2,13.8,18.5,19.6,20.7,15.6,11.7,19.9,18.0,20.9,18.3,18.0,13.1,17.2,18.9,17.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               M2   (% of GDP at current market prices),32.2,32.0,32.3,31.9,32.9,33.6,33.8,32.1,29.1,31.8,28.3,30.4,29.7,31.9,33.4,37.1,40.2,42.2,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit Money Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Demand deposits,"70,442","84,373","80,376","94,122","110,900","145,082","161,137","159,760","153,687","184,283","235,981","243,451","243,735","272,753","339,458","389,293","405,152","425,822","461,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Time deposits,"375,224","434,448","492,852","557,102","681,617","800,493","960,266","1,147,602","1,256,881","1,488,603","1,718,996","2,117,734","2,554,485","2,980,394","3,301,517","3,901,124","4,672,937","5,566,871","6,432,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Domestic credits outstanding,"356,663","385,236","392,926","441,683","535,677","679,561","887,878","1,037,737","1,146,442","1,137,416","1,454,619","1,905,732","2,305,613","2,547,661","2,776,488","3,477,653","4,205,719","4,890,777","5,755,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Ratesl   as of end of period (% per annum),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     On deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Savings deposits,8.4,8.4,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.3,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Time:   6 months,12.0,12.6,9.8,6.5,7.8,8.8,11.3,15.5,15.5,8.5,7.5,7.5,13.0,9.3,6.0,7.0,10.8,10.8,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,                    12 months,15.0,13.0,10.0,7.0,8.0,9.0,11.0,15.0,15.0,9.5,8.5,8.5,12.5,9.5,6.5,7.3,11.0,11.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCEm   fiscal year ending 31 December (SLRs million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,"216,389","239,689","266,998","284,216","320,047","412,307","506,888","595,014","686,481","725,566","834,188","949,917","1,066,700","1,153,310","1,187,017","1,460,794","1,693,151","1,839,562","1,932,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Taxes,"182,392","205,839","221,786","231,648","281,552","336,829","428,379","508,947","585,621","618,933","724,746","812,611","908,911","1,005,890","1,050,362","1,355,682","1,463,689","1,670,178",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"          Taxes on income, profits, and capital gains","27,457","34,636","37,619","39,397","41,372","52,535","80,484","107,168","126,541","139,558","135,623","157,309","172,592","205,665","198,115","262,583","258,857","274,562",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Payable by individuals,"11,700","13,962","12,172","10,073","13,435","15,251","21,283","16,211","23,326","28,229","30,993","24,785","21,068","27,337","30,529","38,152","46,426","45,619",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Payable by corporations and other enterprises,"15,757","20,674","13,934","15,095","16,663","25,002","38,536","55,650","63,693","66,751","75,208","98,748","91,918","100,649","98,183","162,019","164,592","177,591",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"               Other taxes on income, profits, and capital gains",–,–,"11,513","14,229","11,274","12,282","20,665","35,307","39,522","44,578","29,422","33,776","59,606","77,679","69,402","62,412","47,839","51,351",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Taxes on payroll and workforce,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Taxes on property,"8,163","8,415","2,511",51,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Taxes on goods and services,"122,802","136,632","149,852","152,533","191,525","227,935","259,183","286,157","306,409","272,383","355,366","407,664","492,300","506,906","539,023","724,282","840,564","1,023,696",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Taxes on international trade and transaction,"23,970","26,156","31,804","39,667","48,655","56,359","73,807","84,406","98,234","137,260","130,749","158,080","216,672","191,815","198,483","244,231","364,268","371,336",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Other taxes,–,–,–,–,–,–,"14,905","31,216","54,437","69,732","103,009","89,558","27,347","101,508","114,742","124,586",–,585,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Social contributions,"3,620","2,667","2,630","3,037","3,444","4,910","6,470","8,777","6,791","11,165","11,120","12,628","11,738","15,145","14,919","15,213","18,046","22,940",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Grants,"5,145","5,500","7,079","7,956","8,681","32,640","30,068","30,508","31,222","25,922","16,909","15,141","16,071","15,859","9,415","6,014","7,496","8,031",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Other revenue,"25,232","25,683","35,503","41,575","26,370","37,928","41,971","46,782","62,847","69,546","81,413","109,538","129,975","116,407","112,320","83,886","203,920","138,412",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expense,"289,114","335,149","362,362","373,202","433,036","495,363","621,464","717,409","847,371","1,013,401","1,080,692","1,167,010","1,354,540","1,406,950","1,530,449","1,976,574","2,006,616","2,205,703","2,346,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Compensation of employees,"68,544","78,056","88,804","91,784","106,187","138,603","175,031","214,160","239,078","271,229","300,558","319,601","347,747","393,228","440,982","561,730","576,471","588,518",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Use of goods and services,"62,221","65,691","50,115","46,877","58,343","56,257","77,994","78,472","121,250","108,502","87,728","113,533","140,086","119,396","162,652","210,834","169,779","168,072",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Consumption of fixed capital,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Interest,"71,200","94,307","116,515","125,126","119,782","120,159","150,777","182,681","212,475","309,676","352,591","356,896","408,498","444,007","436,395","509,674","610,895","735,566",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Subsidies,"9,377","12,152","21,187","18,683","22,395","26,954","39,931","36,459","39,545","41,373","40,313","45,164","46,796","53,261","66,009","73,937","83,484","85,117",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Grants,"9,896","7,536","6,118","5,126","6,314","11,902","20,702","20,656","21,840","24,900","26,028","29,871","26,725","201,768","32,063","34,731","32,078","36,125",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Social benefits,"41,306","52,083","53,046","51,373","81,643","100,819","103,132","110,836","130,760","147,680","153,977","169,645","187,895","195,288","216,860","345,483","317,153","350,420",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Other expense,"26,570","25,324","26,577","34,233","38,372","40,669","53,897","74,145","82,423","110,041","119,496","132,297","196,795",–,"175,488","240,185","216,755","241,885",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net operating balance,"-72,725","-95,460","-95,364","-88,986","-112,989","-83,056","-114,576","-122,395","-160,890","-287,835","-246,504","-217,093","-287,840","-253,640","-343,432","-515,780","-313,465","-366,141","-414,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross operating balance,"-72,725","-95,460","-95,364","-88,986","-112,989","-83,056","-114,576","-122,395","-160,890","-287,835","-246,504","-217,093","-287,840","-253,640","-343,432","-515,780","-313,465","-366,141","-414,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transactions in Nonfinancial Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net/gross investment in nonfinancial assets,"32,896","36,008","25,156","36,074","40,342","88,060","87,695","110,965","128,827","143,512","158,248","202,113","175,731","252,535","234,699","313,162","327,794","360,333",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Fixed assets,"32,896","36,008","25,156","36,074","40,342","88,060","87,695","110,965","128,827","143,512","158,248","202,113","175,731","252,535","234,699","313,162","327,794","360,333",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Inventories,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Valuables,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Nonproduced assets,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure,"322,010","371,157","387,518","409,276","473,378","583,423","709,159","828,374","976,198","1,156,913","1,238,940","1,369,123","1,530,271","1,659,485","1,765,148","2,289,735","2,334,410","2,566,036","2,702,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net lending/Net borrowing,"-105,621","-131,468","-120,520","-125,060","-153,331","-171,116","-202,271","-233,360","-289,717","-431,347","-404,752","-419,206","-463,571","-506,175","-578,132","-828,941","-641,259","-726,474","-769,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary balance,"-34,421","-37,161","-4,005",66,"-33,549","-50,957","-51,494","-50,679","-77,242","-121,671","-52,161","-62,310","-55,073","-62,168","-141,737","-319,267","-30,365","9,092","82,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transactions in Financial Assets and Liabilities (Financing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net acquisition of financial assets,"14,554","20,961","-8,087",-65,"4,299","7,919","10,291","18,070","8,265","46,106","55,459","52,573","20,785","9,913","26,784","4,966","-9,317","25,895",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Domestic,"14,554","20,961","-8,087",-65,"4,299","7,919","10,291","18,070","8,265","46,106","55,459","52,573","20,785","9,913","26,784","4,966","-9,317","25,895",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     External ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net incurrence of liabilities,"120,175","152,429","112,433","124,995","157,629","179,035","212,562","251,431","297,983","477,531","460,451","472,289","484,357","516,090","604,916","833,906","631,942","752,368",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Domestic,"119,680","137,891","110,455","81,929","120,558","131,262","170,623","150,523","302,626","246,724","216,663","253,333","197,902","392,390","392,393","597,104","240,029","313,125",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     External ,495,"14,538","1,978","43,066","37,071","47,773","41,939","100,908","-4,643","230,807","243,788","218,956","286,455","123,700","212,523","236,803","391,914","439,243",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Government Finance   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Revenue,14.5,14.4,14.3,13.6,13.4,14.7,15.1,14.5,13.6,13.1,13.0,13.2,12.2,12.0,11.5,13.3,14.1,13.7,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Taxes,12.3,12.4,11.8,11.1,11.8,12.0,12.7,12.4,11.6,11.2,11.3,11.3,10.4,10.5,10.1,12.4,12.2,12.4,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Taxes payable by individuals,0.8,0.8,0.7,0.5,0.6,0.5,0.6,0.4,0.5,0.5,0.5,0.3,0.2,0.3,0.3,0.3,0.4,0.3,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Taxes payable by corporations and other enterprises,1.1,1.2,0.7,0.7,0.7,0.9,1.1,1.4,1.3,1.2,1.2,1.4,1.1,1.0,0.9,1.5,1.4,1.3,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Expenditure,21.6,22.3,20.7,19.6,19.8,20.8,21.1,20.2,19.3,20.9,19.3,19.0,17.5,17.3,17.0,20.9,19.5,19.1,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Net lending/Net borrowing,-7.1,-7.9,-6.4,-6.0,-6.4,-6.1,-6.0,-5.7,-5.7,-7.8,-6.3,-5.8,-5.3,-5.3,-5.6,-7.6,-5.3,-5.4,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Primary balance,-2.3,-2.2,-0.2,0.0,-1.4,-1.8,-1.5,-1.2,-1.5,-2.2,-0.8,-0.9,-0.6,-0.6,-1.4,-2.9,-0.3,0.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Function, Central Government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total expenditure,"322,048","371,264","388,861","409,782","473,485","583,343","709,672","852,131","976,317","1,156,913","1,238,940","1,369,120","1,530,270","1,659,490","1,765,148","2,289,735","2,334,410","2,566,036",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     General public services,"90,892","129,702","133,679","150,640","148,845","170,469","192,835","244,831","281,118","365,843","413,989","430,740","494,009","529,941","549,958","660,221","761,541","890,036",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Defense,"56,915","54,242","49,163","47,005","56,341","61,498","81,243","101,856","134,710","144,884","145,243","159,553","159,581","170,150","195,401","233,733","224,315","228,013",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Public order and safety,"13,859","14,048","14,972","14,978","17,111","20,467","25,197","32,470","41,215","43,683","46,296","46,453","48,600","47,274","69,009","78,695","83,719","88,773",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Economic affairs,"66,751","70,745","69,261","73,158","83,372","106,265","157,387","190,817","249,182","341,599","364,243","399,827","466,696","451,522","435,167","602,460","553,456","600,427",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Environmental protection,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Housing and community amenities,"5,905","10,382","11,916","10,720","17,031","23,047","29,577","28,268","31,583","37,034","38,068","43,382","42,357","46,192","39,723","31,693","27,579","30,046",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Health,"20,696","18,772","24,946","27,476","34,420","44,851","58,038","68,702","74,548","71,452","73,835","89,217","99,101","119,529","138,403","177,789","186,149","196,820",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Recreation, culture, and religion",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
