PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,
,               External debt   (% of GNI),61.6,64.8,62.3,63.3,56.8,48.0,40.0,33.8,28.5,27.4,27.2,24.6,23.0,20.0,22.5,21.6,19.9,19.4,...,,,,,,,,,,,,,,,,
,               Total long-term debt   (% of total debt),86.9,86.1,87.7,88.0,90.2,88.2,91.0,87.7,87.7,90.5,81.9,79.8,74.4,72.5,77.4,78.7,78.6,78.8,...,,,,,,,,,,,,,,,,
,               Short-term debt   (% of total debt),9.4,10.3,9.3,9.8,8.3,10.9,8.7,12.0,12.0,7.1,16.1,18.2,23.7,25.5,21.0,19.8,19.9,19.5,...,,,,,,,,,,,,,,,,
,               Debt service   (% of exports of goods and services),22.9,33.5,33.6,31.4,31.6,24.7,27.6,15.5,19.0,18.1,18.7,14.7,7.6,7.7,9.0,12.9,13.1,11.3,...,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt service transactions during the year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Principal repayments on long-term debt,"4,047","5,946","6,653","6,733","7,240","5,748","8,965","4,739","6,995","5,675","8,341","6,311","2,728","2,918","4,477","7,410","7,772","8,226","5,915",,,,,,,,,,,,,,,,
,     Interest on long-term debt,"2,469","3,039","2,924","2,699","3,540","3,152","3,468","3,206","3,376","3,266","3,112","3,195","2,975","2,923","3,056","3,161","3,136","2,876","2,063",,,,,,,,,,,,,,,,
,     Interest on short-term debt,442,279,165,132,200,286,363,345,22,46,4,3,5,9,4,4,6,8.3,...,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average terms of new commitments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Interest rate   (% per annum),6.8,5.2,6.3,5.6,6.7,6.9,7.3,5.2,3.2,5.6,3.8,4.1,2.8,0.6,2.0,3.9,1.6,3.0,...,,,,,,,,,,,,,,,,
,     Maturity   (years),16.4,10.4,12.9,9.4,10.1,12.3,18.3,22.6,19.8,15.4,16.1,20.3,23.4,28.3,19.6,18.7,21.9,22.4,...,,,,,,,,,,,,,,,,
,     Grace period   (years),9.8,4.9,9.1,6.8,8.0,9.4,15.8,13.8,8.3,11.6,12.2,15.4,13.6,9.0,8.9,15.9,7.5,17.7,...,,,,,,,,,,,,,,,,
,     Grant element   (%),19.6,25.2,23.5,18.2,14.1,17.4,19.1,36.6,44.5,28.9,42.3,45.4,54.8,74.7,58.2,45.4,58.5,54.2,...,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"... = data not available; | = marks break in the series; – = magnitude equals zero; 0 or 0.0 = magnitude is less than half of unit employed; * = provisional, preliminary, estimate; $ = United States dollars; ₱ = pesos;  fob = free on board; GDP = gross domestic product; GNI = gross national income; IMF = International Monetary Fund; km2 = square kilometer; kWh = kilowatt-hour; L = liter; m3 = cubic meter; NPISHs = nonprofit institutions serving households; SDRs = special drawing rights; t = metric ton.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,"For 2000–2009, data are based on the population estimates used for national accounts and the computed annual and end-quarter population estimates curvilinear interpolation at decelerating rates. The results of the 2000 and 2010 Censuses of Population and Housing (CPH) are, respectively, the start and end dates of the reference population. For 2010 onward, data are updated based on the 2010 CPH. Definition of urban barangays is based on Board Resolution No. 9, series of 2003.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,"Data are based on household population of those 15 years of age and older, with past week as reference period. Data are average estimates of the results of the four rounds of the Labor Force Survey (LFS). For 2000–2005, data are based on 1995 census-based population projections. For 2006–2015, data are based on 2000 census-based population projections.  For 2005, annual data on labor force and labor force participation rate are averages of April, July, and October figures, in view of the adoption of a new definition (footnote c).  For 2014, the January round was not included as it results in a decline in the annual labor force due to very low data, as an aftermath of typhoon Yolanda  in late 2013.  The estimates for January 2016 were derived using 2000 census-based population projections. Starting with the April 2016 LFS round, the population projection based on the 2010 CPH was adopted to generate labor force statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,"From April 2005 onward, the definition of unemployed was revised to include all persons who are 15 years of age and older, and are reported as (i) without work; (ii) currently available for work;  and (iii) seeking work, or not seeking work due to valid reasons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,"For comparability, the growth rate for 2014 was computed using comparable 2013 data equivalent to the average of April, July, and October. The growth rate for 2015 was computed using the average of April, July, and October employment data that exclude Leyte province. Except for 2005, 2014, and 2015, all other years are averages of January, April, July, and October rounds of the LFS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,Compilation follows the 2000 Revised/Rebased Philippine System of National Accounts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,Gross value added at basic current prices were derived using the data on taxes on production and imports in the Consolidated Accounts and Income and Outlay Accounts of the Philippine Statistics Authority.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,Includes NPISHs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h,"For 2000–2009, data were derived using balance of secondary income data from the balance of payments. For 2010–2018, data were provided by the Philippine Statistics Authority.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,Data were converted from barrels to metric tons using a conversion factor of 1 barrel=0.136727548 metric tons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,Includes exports of condensate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,Refers to refinery run and energy uses and losses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l,Data were converted from standard cubic foot to cubic meter using a conversion factor of 1 standard cubic foot=0.0283168 cubic meter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,"For 2001 onward, data series based on the monetary survey concept were revised to adopt the depository corporations survey concept, which expanded the coverage of other depository corporations to include thrift banks, nonstock savings and loan associations, and nonbanks with quasi-banking functions, along with commercial and rural banks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,"For 2000, includes claims on government sector (net).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,"For 2000, includes claims on private sector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,"From 2001 onward, liabilities excluded from broad money (Other Liabilities).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,Refers to the weighted average interest rates of sample commercial banks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,"For 2012 onward, rates are charged on interest-bearing deposits with maturities of 91–180 days. Previous data refer to rates charged on interest-bearing deposits with short-term maturities (1 year and below).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,Refers to rates charged on interest-bearing deposits with maturities of over 1 year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,On obligation basis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,"For 2000-2013, includes expenditure on recreation, culture, and religion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v,"Prior to 2005, data are based on the IMF's Balance of Payments Manual (fifth edition). For 2005 onward, data are based on the IMF's Balance of Payments and International Investment Position Manual (sixth edition). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,Includes only shipped goods that involve a change in ownership.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,"Prior to 2005, balances in the financial account are derived by deducting assets from liabilities. For 2005 onward, data are derived by deducting net incurrence of liabilities from net acquisition of financial assets. Negative values of net acquisition of financial assets indicate withdrawal or disposal of financial assets. Negative values of net incurrence of liabilities indicate repayment of liabilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,"Prior to 2005, direct investment follows the directional principle, where claims of direct investment enterprise from its direct investors are recorded as negative entries in assets when the direct investor is a resident and in liabilities when the direct investor is a nonresident. For 2005 onward, data follows the asset and liability principle, where claims of direct investment enterprises from its direct investors are recorded as reverse investments under assets for claims of residents and liabilities for claims of nonresidents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z,"""Net unclassified items"" is used as an offsetting account to the overstatement or understatement in either receipts or payments of the recorded balance-of-payments (BOP) components vis-a-vis the overall BOP position.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa,"Overall BOP position is calculated as the change in the country's net international reserves less noneconomic transactions  (revaluation and gold monetization or demonetization). Alternatively, it can be derived by adding the current and capital account balances less financial account plus net unclassified items.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab,"Prior to 2005, data for change in reserves is derived by deducting change in reserve assets from change in reserve liabilities. For 2005 onward, data for change in reserves is derived by deducting change in reserve liabilities from change in reserve assets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Population,"Philippine Statistics Authority (PSA). Official communication, 6 May 2019; past communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,       Urban Population ,United Nations. World Urbanization Prospects 2019. https://esa.un.org/unpd/wup/ (accessed 10 May 2019).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labor Force,"PSA. Official communication, 6 May 2019; past communication. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,National Accounts,"PSA. Official communication, 6 May 2019; past communication. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Production Indexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Agriculture,Food and Agriculture Organization of the United Nations. FAOSTAT. http://www.fao.org/faostat/en/#data (accessed 5 June 2019).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Mining                 ,"PSA. Official communication, 6 May 2019; past communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Manufacturing     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Energy,"Government of the Philippines, Department of Energy. Official communication, 23 May 2019; past communication. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Retail Prices,"PSA. Official communication, 18 June 2019; past communication. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Price Indexes,"PSA. Official communication, 6 May 2019; past communication. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Money and Banking,"Bangko Sentral ng Pilipinas. Official communication, 23 April 2019; past communication. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Government Finance,"Government of the Philippines, Bureau of the Treasury. Official communication, 30 April 2019; past communication. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Expenditure by Function,"Government of the Philippines, Department of Budget and Management. Official communication, 20 May 2019; past communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Provincial and Other Local Governments,"Government of the Philippines, Department of Finance, Bureau of Local Government Finance. Official communication, 20 May 2019; past communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,External Trade,"PSA. Official communication, 6 May 2019; past communication. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   Direction of Trade,International Monetary Fund (IMF). International Financial Statistics. http://data.imf.org/ (accessed 20 May 2019).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Balance of Payments,"Bangko Sentral ng Pilipinas. Official communication, 23 April 2019; past communication. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International Reserves ,IMF. International Financial Statistics. http://data.imf.org/ (accessed 27 March 2019).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exchange Rates            ,IMF. International Financial Statistics. http://data.imf.org/ (accessed 27 March 2019).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,External Indebtedness,"World Bank. World Development Indicators. https://data.worldbank.org/indicator (accessed 4 April 2019).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
